Content,GroundTruth,Output_Enhanced
"PCI interrupt 0000:09:0d.0[A] -> GSI 18 (level, low) -> IRQ 201","PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>","PCI interrupt <*>[<*>] -> GSI <*> (<*>, <*>) -> IRQ <*>"
Power Button (FF) [PWRF],Power Button (FF) [PWRF],Power Button (<*>) [<*>]
Processor [CPU0] (supports C1),Processor [CPU<*>] (supports C1),Processor [<*>] (supports <*>)
Processor [CPU1] (supports C1),Processor [CPU<*>] (supports C1),Processor [<*>] (supports <*>)
Processor [CPU2] (supports C1),Processor [CPU<*>] (supports C1),Processor [<*>] (supports <*>)
Processor [CPU3] (supports C1),Processor [CPU<*>] (supports C1),Processor [<*>] (supports <*>)
RSDP (v000 DELL ) @ 0x00000000000fd650,RSDP (<*> DELL ) @ <*>,RSDP (v000 <*> ) @ <*>
RSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd664,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,RSDT (<*> <*> <*> <*> <*> <*>) @ <*>
SPCR (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd7cc,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,SPCR (<*> <*> <*> <*> <*> <*>) @ <*>
L2 cache: 2048K,L2 cache: <*>K,L2 cache: <*>
L2 cache: 2048K,L2 cache: <*>K,L2 cache: <*>
L2 cache: 2048K,L2 cache: <*>K,L2 cache: <*>
L2 cache: 2048K,L2 cache: <*>K,L2 cache: <*>
L2 cache: 2048K,L2 cache: <*>K,L2 cache: <*>
"sys_ia32.c,v 1.32 2002/03/24 13:02:28 ak Exp $",<*> <*>.<*> <*>/<*>/<*> <*>:<*>:<*> ak Exp $,"sys_ia32.c,v <*> <*> <*> ak Exp $"
"routing cache hash table of 65536 buckets, 1024Kbytes","routing cache hash table of <*> buckets, <*>Kbytes","routing cache hash table of <*> buckets, <*>"
PCI Hot Plug PCI Core version: 0.5,PCI Hot Plug PCI Core version: <*>.<*>,PCI Hot Plug PCI Core version: <*>
"root=LABEL=/ initrd=/x86_64/initrd-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr-admin console=tty0 console=ttyS0,19200 fastboot BOOT_IMAGE=/x86_64/vmlinuz-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr","root=LABEL=/ initrd=/<*> console=<*> console=<*>,<*> fastboot BOOT_IMAGE=<*>",<*>=<*> initrd=<*> console=<*> fastboot BOOT_IMAGE=<*>
Disabled at runtime.,Disabled at runtime.,Disabled at <*>.
Disk quotas dquot_6.5.1,Disk quotas dquot_<*>.<*>.<*>,Disk quotas <*>
Mounted root (ext2 filesystem).,Mounted root (ext2 filesystem).,Mounted <*> (<*> filesystem).
MegaRAID Model: LD 0 RAID1 139G Rev: 516A,MegaRAID Model: LD <*> RAID1 <*> Rev: <*>,MegaRAID Model: LD <*> <*> <*> Rev: <*>
PE/PV Model: 1x2 SCSI BP Rev: 1.0,PE/PV Model: <*> SCSI BP Rev: <*>.<*>,PE/PV Model: <*> SCSI BP Rev: <*>
initializing netlink socket (disabled),initializing netlink socket (disabled),initializing netlink socket (<*>)
4.1.0-ioctl (2003-12-10) initialised: #36#@#37#,<*>.<*>.<*>-ioctl (<*><*><*>) initialised: #<*>#@#<*>#,x.x.x-ioctl (yyyy-mm-dd) initialised: <*>@<*>
allocating divert_blk for eth0,allocating divert_blk for eth<*>,allocating divert_blk for <*>
allocating divert_blk for eth1,allocating divert_blk for eth<*>,allocating divert_blk for <*>
not allocating divert_blk for non-ethernet device lo,not allocating divert_blk for non-ethernet device <*>,not allocating divert_blk for non-<*> device <*>
v2.0:USB HID core driver,v<*>.<*>:USB HID core driver,<*>:USB HID core driver
eth0: e1000_probe: Intel(R) PRO/1000 Network Connection,eth<*>: <*>: Intel(R) PRO/<*> Network Connection,eth0: e1000_probe: <*>
eth0: e1000_watchdog: NIC Link is Up 1000 Mbps Full Duplex,eth0: <*>: NIC Link is Up <*> Mbps Full Duplex,eth0: e1000_watchdog: NIC Link is Up <*> Mbps <*>
eth1: e1000_probe: Intel(R) PRO/1000 Network Connection,eth<*>: <*>: Intel(R) PRO/<*> Network Connection,eth1: e1000_probe: <*>
no floppy controllers found,no floppy controllers found,no <*> controllers found
Wait for ready failed before probe !,Wait for ready failed before probe !,Wait for ready failed before <*> !
Wait for ready failed before probe !,Wait for ready failed before probe !,Wait for ready failed before <*> !
Wait for ready failed before probe !,Wait for ready failed before probe !,Wait for ready failed before <*> !
Wait for ready failed before probe !,Wait for ready failed before probe !,Wait for ready failed before <*> !
Wait for ready failed before probe !,Wait for ready failed before probe !,Wait for ready failed before <*> !
Wait for ready failed before probe !,Wait for ready failed before probe !,Wait for ready failed before <*> !
Assuming 33MHz system bus speed for PIO modes; override with idebus=xx,Assuming <*>MHz system bus speed for PIO modes; override with idebus=xx,Assuming <*> system bus speed for PIO modes; override with idebus=<*>
Unknown cmd fd(5) cmd(80081272){00} arg(ffffda44) on /dev/sda,Unknown cmd fd(<*>) cmd(<*>){<*>} arg(<*>) on /dev/sda,Unknown cmd fd(<*>) cmd(<*>)<*> arg(<*>) on <*>
(C) 2000-2002 Netfilter core team,(C) <*>-<*> Netfilter core team,(<*>) <*>-<*> <*> <*> <*>
... autorun DONE.,... autorun DONE.,... autorun <*>.
... autorun DONE.,... autorun DONE.,... autorun <*>.
"md driver 0.90.0 MAX_MD_DEVS=256, MD_SB_DISKS=27","md driver <*>.<*>.<*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>","md driver <*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>"
#38#-rh1 (Release Date: Fri Dec 10 19:02:14 EST 2004),<*> (Release Date: <*> <*>),<*>-rh1 (Release Date: <*> EST <*>)
#39# (Release Date: Mon Sep 27 22:15:07 EDT 2004),<*> (Release Date: <*> <*>),<*> (Release Date: <*>)
probe new device 0x1028:0x0013:0x1028:0x016c: bus 2:slot 14:func 0,probe new device <*>:<*>:<*>:<*>: bus <*>:slot <*>:func <*>,probe new device <*>: bus <*>:slot <*>:func <*>
PS/2 mouse device common for all mice,PS/<*> mouse device common for all mice,PS/2 mouse device common for all mice
v2.0 (20020519),v<*>.<*> (<*>),<*> (<*>)
rpc.statd startup succeeded,rpc.statd startup succeeded,rpc.statd <*> succeeded
Starting ts_fixup: succeeded,Starting ts_fixup: succeeded,Starting ts_fixup: <*>
Version 1.0.6 Starting,Version <*>.<*>.<*> Starting,Version <*> Starting
scanning scsi channel 1 [virtual] for logical drives,scanning scsi channel <*> [virtual] for logical drives,scanning scsi channel <*> [<*>] for logical drives
asking for cache data failed,asking for cache data failed,asking for cache data <*>
assuming drive cache: write through,assuming drive cache: write through,assuming drive cache: <*>
sda1 sda2 sda3 sda4,sda1 sda2 sda3 sda4,<*> <*> <*> <*>
"i8042 AUX port at 0x60,0x64 irq 12","<*> AUX port at <*>,<*> irq <*>",i8042 AUX port at <*> irq <*>
"i8042 KBD port at 0x60,0x64 irq 1","<*> KBD port at <*>,<*> irq <*>",i8042 KBD port at <*> irq <*>
syslog-ng version 1.6.7 starting,syslog-ng version <*>.<*>.<*> starting,syslog-ng version <*> starting
Detected 3591.360 MHz processor.,Detected <*>.<*> MHz processor.,Detected <*> MHz processor.
Using 14.318180 MHz HPET timer.,Using <*>.<*> MHz HPET timer.,Using <*> MHz HPET timer.
Using HPET based timekeeping.,Using HPET based timekeeping.,Using <*> based timekeeping.
Creating Topspin /dev entries:,Creating Topspin /dev entries:,Creating Topspin <*> entries:
registered new driver hiddev,registered new driver hiddev,registered new driver <*>
registered new driver usbfs,registered new driver usbfs,registered new driver <*>
registered new driver usbhid,registered new driver usbhid,registered new driver <*>
probe of vesafb0 failed with error -6,probe of vesafb0 failed with error <*>,probe of <*> failed with error <*>
data_thread() got not answer from any [Thunderbird_C1] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
data_thread() got not answer from any [Thunderbird_B7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D6] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_A7] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:1455]: No topology change,[ib_sm_sweep.c:<*>]: No topology change
[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:1482]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required
data_thread() got not answer from any [Thunderbird_B4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
"connection from ""#28#""","connection from ""#<*>#""","connection from ""<*>"""
data_thread() got not answer from any [Thunderbird_C4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_D4] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
"User #29#, coming from #30#, authenticated.","User #<*>#, coming from #<*>#, authenticated.","User <*>, coming from <*>, authenticated."
data_thread() got not answer from any [Thunderbird_B2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
Now running on #29#'s privileges.,Now running on #<*>#'s privileges.,Now running on <*>'s privileges.
Local disconnected: Connection closed.,Local disconnected: Connection closed.,Local disconnected: <*>.
connection lost: 'Connection closed.',connection lost: 'Connection closed.',connection lost: '<*>'
Mounting NFS filesystems: succeeded,Mounting NFS filesystems: succeeded,Mounting NFS filesystems: <*>
Mounting other filesystems: failed,Mounting other filesystems: failed,Mounting other filesystems: <*>
data_thread() got not answer from any [Thunderbird_A2] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
data_thread() got not answer from any [Thunderbird_B5] datasource,data_thread() got not answer from any [Thunderbird_<*>] datasource,data_thread() got not answer from any <*> datasource
Warning: we failed to resolve data source name an14 an15 an16 an17 an18 an19 an20 an21 an22 an23 an24 an25 an26 an27 an28 an29 an30 an31 an32 an33 an34 an35 an36 an37 an38 an39 an40 an41 an42 an43 an44 an45 an46 an47 an48 an49 an50 an51 an52 an53 an54 an55 an56 an57 an58 an59 an60 an61 an62 an63 an64 an65 an66 an67 an68 an69 an70 an71 an72 an73 an74 an75 an76 an77 an78 an79 an80 an81 an82 an83 an84 an85 an86 an87 an88 an89 an90 an91 an92 an93 an94 an95 an96 an97 an98 an99 an100 an101 an102 an103 an104 an105 an106 an107 an108 an109 an110 an111 an112 an113 an114 an115 an116 an117 an118 an119 an120 an121 an122 an123 an124 an125 an126 an127 an128,Warning: we failed to resolve data source name <*>,Warning: we failed to resolve data source name <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>
Warning: we failed to resolve data source name an14 an15 an16 an17 an18 an19 an20 an21 an22 an23 an24 an25 an26 an27 an28 an29 an30 an31 an32 an33 an34 an35 an36 an37 an38 an39 an40 an41 an42 an43 an44 an45 an46 an47 an48 an49 an50 an51 an52 an53 an54 an55 an56 an57 an58 an59 an60 an61 an62 an63 an64 an65 an66 an67 an68 an69 an70 an71 an72 an73 an74 an75 an76 an77 an78 an79 an80 an81 an82 an83 an84 an85 an86 an87 an88 an89 an90 an91 an92 an93 an94 an95 an96 an97 an98 an99 an100 an101 an102 an103 an104 an105 an106 an107 an108 an109 an110 an111 an112 an113 an114 an115 an116 an117 an118 an119 an120 an121 an122 an123 an124 an125 an126 an127 an128,Warning: we failed to resolve data source name <*>,Warning: we failed to resolve data source name <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>
Warning: we failed to resolve data source name an142 an143 an144 an145 an146 an147 an148 an149 an150 an151 an152 an153 an154 an155 an156 an157 an158 an159 an160 an161 an162 an163 an164 an165 an166 an167 an168 an169 an170 an171 an172 an173 an174 an175 an176 an177 an178 an179 an180 an181 an182 an183 an184 an185 an186 an187 an188 an189 an190 an191 an192 an193 an194 an195 an196 an197 an198 an199 an200 an201 an202 an203 an204 an205 an206 an207 an208 an209 an210 an211 an212 an213 an214 an215 an216 an217 an218 an219 an220 an221 an222 an223 an224 an225 an226 an227 an228 an229 an230 an231 an232 an233 an234 an235 an236 an237 an238 an239 an240 an241 an242 an243 an244 an245 an246 an247 an248 an249 an250 an251 an252 an253 an254 an255 an256,Warning: we failed to resolve data source name <*>,Warning: we failed to resolve data source name <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> a
